name,duration_ms,explicit,popularity,artists,album_name,danceability,energy,key,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,genre,kmeans.labels_
Long Road,241760,0,46,Funki Porcini,Hed Phone Sex,0.69,0.513,5,-12.529,0.0975,0.302,0.536,0.281,0.635,142.221,4.0,j-dance,3
"Daniâl My Son, Where Did You Vanish?",444000,0,0,Siavash Amini,A Trail of Laughters,0.069,0.196,1,-24.801,0.0805,0.283,0.934,0.36,0.0336,75.596,4.0,iranian,2
Ondskapens Galakse,333506,0,3,Kvelertak,Nattesferd,0.363,0.854,2,-7.445,0.0397,8.93e-05,0.8,0.262,0.489,116.628,4.0,black-metal,3
Can't Look Away,269800,0,23,The Wood Brothers,One Drop of Truth,0.523,0.585,5,-5.607,0.0765,0.0664,0.00127,0.117,0.385,140.88,4.0,bluegrass,1
Thunderground,307651,0,25,The Darkraver;DJ Vince,Happy Hardcore Top 100,0.643,0.687,7,-11.34,0.0539,0.000576,0.0969,0.299,0.637,143.956,4.0,happy,1
Sick Bubblegum,224266,1,32,Rob Zombie,Hellbilly Deluxe 2 (Standard Explicit),0.642,0.972,5,-3.047,0.0967,0.00152,2.39e-05,0.384,0.421,118.035,4.0,industrial,1
The Diamond Four,225160,0,27,Momoiro Clover Z,MOMOIRO CLOVER Z,0.777,0.949,2,-2.488,0.0585,0.306,1.63e-05,0.299,0.85,109.992,4.0,j-idol,1
Quiero tener tu presencia,220626,0,64,Seguridad Social,Furia Latina,0.741,0.816,4,-5.597,0.0797,0.0211,0.0,0.0981,0.574,146.075,4.0,spanish,1
Shhhh Baby Shusher Mama Shushing Background Fan (Loopable),116815,0,45,Baby Sleep;Baby Shushing;Dreams of Dreams,Shhhh Baby Shusher Mama Shushing Background Fan (Loopable),0.153,0.119,6,-25.16,0.0501,0.704,0.913,0.543,0.0342,84.886,4.0,sleep,2
Into The Pentagram,405800,0,21,Samael,Worship Him,0.311,0.729,4,-7.047,0.0346,0.000116,0.222,0.225,0.119,141.326,4.0,black-metal,1
Gammy Elbow - VIP Mix,191296,0,19,DJ Zinc;Chris Lorenzo,Gammy Elbow (VIP Mix),0.924,0.893,7,-2.567,0.191,0.0166,0.859,0.0907,0.613,129.999,4.0,j-dance,3
Nobody Supposed to Be Here,99526,0,21,Kyle Edwards;DJ Smallz 732,Warning,0.885,0.75,6,-8.859,0.173,0.0878,0.963,0.0453,0.406,140.079,4.0,techno,3
Beautiful Girl,218329,0,22,Vybz Kartel,Kingston Story (Deluxe Edition),0.792,0.854,7,-6.17,0.105,0.116,4.02e-06,0.108,0.829,110.01,4.0,j-dance,1
知足,256692,0,51,Mayday,知足 just my pride 最真傑作選,0.406,0.23,4,-9.007,0.0297,0.88,0.0,0.107,0.395,159.914,4.0,mandopop,0
Do You Want a Man - Heaven & Hell Remix,145773,0,22,William Onyeabor;The Vaccines;John Hill;Rich Costey,What?!,0.603,0.921,5,-3.555,0.0931,0.198,0.00035,0.133,0.816,122.978,4.0,afrobeat,1
Escalate,220666,0,25,X-RX,Activate the Machinez,0.529,0.99,9,-4.075,0.0422,0.000821,0.0743,0.306,0.589,135.989,4.0,industrial,1
Querencia,194648,0,57,Cameron Sinosa,Querencia,0.17,0.00316,5,-38.615,0.0422,0.991,0.931,0.111,0.0946,70.964,3.0,sleep,2
Real Bad Man - Radio Edit,194616,0,1,Beenie Man;Blakk Man,Imac Riddim,0.717,0.795,8,-4.198,0.291,0.0298,2.33e-06,0.133,0.792,133.673,5.0,j-dance,1
Three Black Cats,124333,0,14,CoComelon,Halloween Party,0.883,0.395,0,-11.0,0.0404,0.486,1.76e-05,0.0979,0.884,135.045,3.0,disney,0
Dust till Dawn,134000,0,45,Dusty Decks,Solid Centre,0.747,0.571,10,-6.985,0.119,0.0264,0.888,0.102,0.71,89.96,4.0,study,3
Beqaaboo,187266,0,53,OAFF;Savera;Shalmali Kholgade;Kausar Munir,Gehraiyaan (Original Motion Picture Soundtrack),0.679,0.663,9,-6.279,0.051,0.0221,0.00609,0.351,0.511,123.985,4.0,indian,1
