name,duration_ms,explicit,popularity,artists,album_name,danceability,energy,key,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,genre
Anyway,274297,False,17,Sharyn,In Full Bloom,0.541,0.31,11,-9.523,0.0479,0.813,3.66e-05,0.308,0.324,137.956,4.0,afrobeat
Entendiendo la Mente Humana,325999,False,2,Ondas Delta,Relajación Absoluta con Ondas Delta: Musicoterapia para Encontrar la Paz Interior,0.136,0.0671,2,-25.522,0.0494,0.989,0.968,0.105,0.0384,72.815,4.0,afrobeat
Yègellé Tezeta,194293,False,57,Mulatu Astatke,New York - Addis - London: The Story of Ethio Jazz 1965-1975,0.839,0.233,3,-13.539,0.0413,0.745,0.747,0.105,0.777,125.597,4.0,afrobeat
Wake (Studio),254946,False,49,Hillsong Young & Free;TAYA,We Are Young & Free,0.531,0.673,4,-4.753,0.0325,0.000362,0.0,0.462,0.261,130.997,4.0,afrobeat
Canto para Siempre,319077,False,13,Juanafé;Carmen Lienqueo,Parrilladas Vargas (Vol. II),0.43,0.829,4,-9.146,0.162,0.0845,0.0,0.112,0.445,141.277,3.0,afrobeat
Não Existe Amor em SP - Instrumental,282093,False,10,Criolo,Nó na Orelha (Instrumental),0.76,0.35,5,-9.481,0.0336,0.0263,0.868,0.0767,0.31,141.988,4.0,afrobeat
Warbé,291226,False,11,Ali Farka Touré;Toumani Diabaté,Ali & Toumani,0.601,0.247,4,-17.785,0.045,0.938,0.872,0.363,0.373,148.516,4.0,afrobeat
More Mess on My Thing,252000,False,21,The Poets Of Rhythm,Practice What You Preach,0.542,0.869,0,-6.18,0.0954,0.225,0.891,0.0453,0.962,190.509,4.0,afrobeat
Reflertar,198722,False,16,Samuca e a Selva,Ditados Populares Dançantes,0.663,0.478,0,-8.649,0.0279,0.114,0.000515,0.124,0.386,149.957,4.0,afrobeat
Best Friends - Live,206741,False,42,Hillsong Young & Free,All Of My Best Friends,0.502,0.772,11,-6.814,0.0315,0.0446,0.0,0.714,0.528,75.024,4.0,afrobeat
Yakuba,194813,False,21,Whitefield Brothers,In The Raw,0.809,0.946,6,-4.464,0.0617,0.192,0.798,0.0577,0.911,90.73,4.0,afrobeat
Oya,323291,False,0,Metá Metá,MetaL MetaL,0.44,0.742,4,-5.234,0.124,0.227,0.000159,0.399,0.368,129.169,3.0,afrobeat
