duration,popularity,danceability,energy,key,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,n_beats,n_bars
248,4,0.561,0.866,6,-2.858,0.0403,0.000853,0.84,0.0374,0.247,174.067,710.0,177.0
212,52,0.848,0.87,11,-4.014,0.0395,0.172,0.795,0.247,0.25,120.013,422.0,104.0
54,0,0.167,0.963,4,0.377,0.0711,0.107,0.692,0.397,0.031,106.265,91.0,23.0
85,35,0.733,0.355,0,-11.854,0.0369,0.287,0.752,0.0895,0.216,80.972,114.0,28.0
135,16,0.0916,0.998,11,-5.353,0.17,0.00229,0.16,0.522,0.0615,173.833,397.0,99.0
212,45,0.831,0.931,11,-5.165,0.0484,0.481,0.0,0.0261,0.948,98.018,347.0,87.0
149,22,0.348,0.99,0,-3.323,0.142,0.00572,4.84e-06,0.375,0.0664,184.878,458.0,115.0
194,30,0.678,0.616,9,-11.698,0.0376,0.00326,4.33e-05,0.166,0.557,123.347,399.0,99.0
273,0,0.238,0.777,1,-5.98,0.151,0.0106,0.73,0.254,0.156,92.322,407.0,101.0
281,64,0.315,0.534,6,-5.931,0.0332,0.525,0.0,0.171,0.445,136.725,630.0,158.0
274,55,0.639,0.883,7,-6.448,0.0688,0.0843,7.13e-05,0.225,0.431,140.008,628.0,157.0
169,52,0.75,0.872,0,-5.67,0.0576,0.59,0.0,0.0434,0.942,172.139,485.0,120.0
291,3,0.238,0.947,5,-5.132,0.0651,0.00113,7.52e-05,0.255,0.325,84.526,398.0,99.0
339,23,0.494,0.267,2,-13.019,0.0321,0.577,0.033,0.101,0.367,151.536,830.0,209.0
133,23,0.586,0.564,9,-9.699,0.0286,0.234,2.23e-06,0.316,0.862,149.94,316.0,78.0
125,11,0.745,0.418,9,-7.27,0.0462,0.887,0.774,0.105,0.738,103.502,215.0,54.0
430,22,0.327,0.944,2,-7.274,0.0591,0.000567,0.00395,0.0719,0.167,122.999,854.0,213.0
236,37,0.804,0.854,8,-6.009,0.0465,0.28,0.0,0.0668,0.961,124.031,473.0,118.0
257,21,0.588,0.534,9,-12.527,0.0271,0.458,0.0635,0.492,0.492,114.082,487.0,122.0
270,8,0.646,0.441,9,-13.942,0.0297,0.0777,0.899,0.0989,0.767,93.042,417.0,104.0
225,31,0.548,0.977,0,-5.051,0.0548,0.0274,0.106,0.333,0.769,120.011,448.0,111.0
200,26,0.683,0.477,1,-8.769,0.0442,0.049,0.00128,0.129,0.609,129.28,425.0,107.0
260,27,0.524,0.396,7,-9.094,0.028,0.658,0.000184,0.139,0.348,161.232,671.0,168.0
219,56,0.484,0.711,8,-5.172,0.0331,0.062,0.00358,0.106,0.715,171.939,621.0,155.0
156,38,0.458,0.828,4,-4.239,0.0409,0.354,1.12e-05,0.149,0.833,75.859,195.0,48.0
211,19,0.578,0.735,1,-11.431,0.0378,0.000797,0.782,0.234,0.552,145.096,503.0,125.0
325,55,0.431,0.748,9,-6.434,0.0846,0.117,2.69e-05,0.154,0.457,88.457,468.0,119.0
166,25,0.282,0.997,6,-4.833,0.0774,3.3e-06,0.664,0.052,0.615,177.114,473.0,117.0
219,46,0.65,0.592,5,-6.193,0.112,0.372,0.0,0.0866,0.58,135.971,489.0,122.0
222,21,0.618,0.474,7,-11.444,0.0285,0.866,0.0066,0.101,0.477,93.43,338.0,84.0
184,60,0.787,0.734,0,-6.465,0.0703,0.364,0.000995,0.0625,0.644,98.989,305.0,75.0
303,9,0.612,0.921,4,-5.37,0.0388,0.0303,0.227,0.363,0.692,128.009,644.0,162.0
178,51,0.503,0.903,2,-7.427,0.0527,0.0218,0.197,0.0861,0.0586,134.462,397.0,98.0
289,56,0.548,0.838,11,-5.683,0.161,0.0761,0.000134,0.327,0.438,156.914,743.0,185.0
226,63,0.852,0.864,2,-10.131,0.0387,0.0334,0.0239,0.0525,0.603,132.999,495.0,123.0
366,18,0.741,0.91,5,-7.419,0.0547,0.0666,0.408,0.159,0.556,149.869,910.0,229.0
219,35,0.607,0.426,8,-10.044,0.0586,0.454,0.0,0.321,0.606,122.568,441.0,108.0
331,50,0.594,0.651,9,-5.484,0.0394,0.62,0.0,0.0782,0.397,140.02,764.0,193.0
341,21,0.753,0.723,1,-9.045,0.0862,0.000621,0.166,0.204,0.49,135.961,775.0,195.0
446,1,0.713,0.964,7,-8.399,0.0413,7.1e-05,0.683,0.0946,0.146,132.994,983.0,245.0
310,23,0.687,0.812,8,-4.389,0.0467,0.119,0.0,0.0492,0.48,123.009,618.0,155.0
204,37,0.488,0.589,5,-8.809,0.11,0.49,0.0,0.281,0.764,83.103,275.0,69.0
224,39,0.636,0.898,7,-3.926,0.0483,0.0111,0.0,0.149,0.671,140.985,517.0,129.0
316,4,0.472,0.89,7,-5.237,0.0482,0.00026,0.842,0.168,0.119,174.021,898.0,224.0
217,11,0.663,0.955,7,-3.944,0.0517,0.00172,0.3,0.122,0.663,129.979,472.0,118.0
258,25,0.715,0.804,5,-7.006,0.0301,0.149,0.104,0.0954,0.815,109.997,470.0,117.0
