name,duration,popularity,artists,album_name,danceability,energy,key,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,n_beats,n_bars,genre
Projections,248,4,BCee;Logistics;Becca Jane Grey,Liquicity Festival 2022,0.561,0.866,6,-2.858,0.0403,0.000853,0.84,0.0374,0.247,174.067,710.0,177.0,idm
The Awakening - 2020 Edit,212,52,York;Scot & Millfield,The Awakening (2020 Edit),0.848,0.87,11,-4.014,0.0395,0.172,0.795,0.247,0.25,120.013,422.0,104.0,techno
Equality,54,0,Najand,In the Night of Revolution,0.167,0.963,4,0.377,0.0711,0.107,0.692,0.397,0.031,106.265,91.0,23.0,iranian
Midnight Sun,85,35,Nostalgique,Lofi Life,0.733,0.355,0,-11.854,0.0369,0.287,0.752,0.0895,0.216,80.972,114.0,28.0,study
The Devil Master (Devil is Your Master),135,16,Devil Master,Manifestations,0.0916,0.998,11,-5.353,0.17,0.00229,0.16,0.522,0.0615,173.833,397.0,99.0,black-metal
Somos Loucos,212,45,Caviar Com Rapadura,Bebo Porque Gosto de Beber - Vol. 11,0.831,0.931,11,-5.165,0.0484,0.481,0.0,0.0261,0.948,98.018,347.0,87.0,forro
Drums of War,149,22,Meccano Twins,Drums of War,0.348,0.99,0,-3.323,0.142,0.00572,4.84e-06,0.375,0.0664,184.878,458.0,115.0,happy
I Never Knew Love - MK Club Mix,194,30,Chez Damier;MK,We Love House - The Anthems,0.678,0.616,9,-11.698,0.0376,0.00326,4.33e-05,0.166,0.557,123.347,399.0,99.0,chicago-house
Homophobia,273,0,Tension Prophecy,Death Metal From Iran,0.238,0.777,1,-5.98,0.151,0.0106,0.73,0.254,0.156,92.322,407.0,101.0,iranian
如果雨之後,281,64,Eric Chou,如果雨之後,0.315,0.534,6,-5.931,0.0332,0.525,0.0,0.171,0.445,136.725,630.0,158.0,mandopop
"Fascinados (feat. Joan Manuel Serrat, Leiva, Vetusta Morla, Iván Ferreiro, Loquillo, Zahara, Dani Martin, Albert Pla, Mikel (Izal), Noni (Lori Meyers), Santi Balmes, Xoel López, Anni B Sweet, Jeanette, Carlos Sadness, Nina (Morgan), Juan Alberto (Niños Mutantes), Miri Ros, Javiera Mena, Jorge Martí (La Habitación Roja), Rafa Val (Viva Suecia), Marc (Dorian), Alondra Bentley, Abraham Boba, Carlangas (Novedades Carminha), La Bien Querida, Martí Perarnau IV (Mucho), Nita (Fuel Fandango) & Shuarma (Elefantes))",274,55,Sidonie;Joan Manuel Serrat;Leiva;Vetusta Morla;Ivan Ferreiro;Loquillo;Zahara;Dani Martín;Albert Pla;Mikel (Izal);Noni (Lori Meyers);Santi Balmes;Xoel López;Anni B Sweet;Jeanette;Carlos Sadness;Nina (Morgan);Juan Alberto (Niños Mutantes);Miri Ros;Javiera Mena;Jorge Martí (La Habitación Roja);Rafa Val (Viva Suecia);Marc (Dorian);Alondra Bentley;Abraham Boba;Carlangas (Novedades Carminha);La Bien Querida;Martí Perarnau IV (Mucho);Nita (Fuel Fandango);Shuarma (Elefantes),Lo Más Maravilloso,0.639,0.883,7,-6.448,0.0688,0.0843,7.13e-05,0.225,0.431,140.008,628.0,157.0,spanish
Eu Acho Que Não,169,52,Os Barões Da Pisadinha,Batom de Ouro,0.75,0.872,0,-5.67,0.0576,0.59,0.0,0.0434,0.942,172.139,485.0,120.0,forro
The Transfiguration Fear,291,3,Sigh,In Somniphobia,0.238,0.947,5,-5.132,0.0651,0.00113,7.52e-05,0.255,0.325,84.526,398.0,99.0,black-metal
Loser,339,23,Keller & The Keels,Grass,0.494,0.267,2,-13.019,0.0321,0.577,0.033,0.101,0.367,151.536,830.0,209.0,bluegrass
I Just Can't,133,23,Yonder Mountain String Band,Get Yourself Outside,0.586,0.564,9,-9.699,0.0286,0.234,2.23e-06,0.316,0.862,149.94,316.0,78.0,bluegrass
Find Peace,125,11,Justnormal,Don't You Leave,0.745,0.418,9,-7.27,0.0462,0.887,0.774,0.105,0.738,103.502,215.0,54.0,study
No Grave Deep Enough,430,22,Primordial,Redemption at the Puritan's Hand,0.327,0.944,2,-7.274,0.0591,0.000567,0.00395,0.0719,0.167,122.999,854.0,213.0,black-metal
門沒鎖,236,37,Victor Wong,門沒鎖,0.804,0.854,8,-6.009,0.0465,0.28,0.0,0.0668,0.961,124.031,473.0,118.0,mandopop
