name,duration_ms,explicit,popularity,artists,album_name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,genre
Dependente,270791,0,45,Canção & Louvor,Profetizando Vida,0.647,0.459,2,-6.737,0.0,0.0331,0.586,0.0,0.19,0.201,135.824,4.0,brazil
Cai,267346,0,2,Niña Pastori,Éxitos del Pop en Español de los Años 2000,0.594,0.52,5,-5.234,0.0,0.0407,0.677,0.0,0.314,0.378,144.067,3.0,spanish
黃昏思鄉,205813,0,25,Jody Chiang,"台灣民謠, Vol. 3",0.5,0.48,7,-8.014,1.0,0.0396,0.466,1.17e-06,0.184,0.549,176.316,4.0,mandopop
Shout Mountain Music,151426,0,24,Old Crow Medicine Show,Volunteer,0.504,0.916,9,-4.845,1.0,0.0569,0.499,1.99e-05,0.286,0.701,148.193,4.0,bluegrass
Pamiętaj mnie (Znowu razem),73653,0,27,Michal Rosinski;Teresa Lipowska,Coco (Ścieżka dźwiękowa polskiej wersji),0.502,0.109,1,-18.657,1.0,0.167,0.973,1.54e-06,0.11,0.283,153.43,4.0,disney
疼惜我的吻,249880,0,22,音樂磁場,音樂磁場15-台語名曲經典,0.603,0.318,1,-17.624,0.0,0.0333,0.168,3.36e-06,0.114,0.158,116.994,3.0,mandopop
1 For The Muchachos,414229,0,5,DJ Sneak;Demuir,Made In Miami Rewind 2018,0.791,0.873,5,-7.894,0.0,0.0811,0.000124,0.791,0.544,0.437,123.999,4.0,chicago-house
Behne Do,180000,0,47,Vismay Patel,Behne Do,0.676,0.385,8,-13.063,1.0,0.0595,0.775,0.0,0.359,0.413,100.034,4.0,indian
Na Kehna Tum,265195,0,50,Dream Note,Na Kehna Tum,0.613,0.361,11,-12.354,1.0,0.0271,0.624,0.0,0.0999,0.22,105.078,4.0,indian
C'est bleu,191266,0,3,Scooter,20 Years of Hardcore,0.497,0.921,0,-5.072,1.0,0.0443,0.0727,0.000187,0.362,0.375,150.955,4.0,techno
Wavelength,138000,0,3,Luc Delvaux,Wavelength,0.765,0.42,7,-8.531,1.0,0.0522,0.748,0.696,0.115,0.374,79.992,4.0,study
"Dance, Dance, Dance",158466,0,26,Appalachian Road Show,Barry Abernathy & Darrell Webb Present Appalachian Road Show,0.583,0.781,9,-5.575,1.0,0.036,0.0938,0.00126,0.315,0.849,123.453,4.0,bluegrass
Yo Quiero Vivir,243093,0,0,Manuel Carrasco,Para entrar en calor,0.69,0.733,0,-6.194,1.0,0.105,0.143,0.0,0.147,0.704,117.969,4.0,spanish
Remind Me - S.P.Y Remix,276279,0,15,BCee;Charlotte Haining;S.P.Y,Life as We Knew It,0.535,0.842,10,-4.281,0.0,0.0474,0.00405,0.232,0.283,0.106,172.025,4.0,idm
Golgotha's Cruel Song,207480,0,18,Devil Master,Ecstasies Of Never Ending Night,0.107,0.961,0,-7.655,1.0,0.117,6.86e-06,0.463,0.355,0.321,174.687,4.0,black-metal
Lettered Love - Live,222733,0,39,Hillsong Worship,There Is More,0.333,0.52,0,-9.746,1.0,0.0315,0.182,6.28e-06,0.673,0.259,91.983,4.0,forro
"Give a Little Whistle - From ""Pinocchio"" / Soundtrack Version",96706,0,25,Dickie Jones;Cliff Edwards,Disney's Greatest Vol. 3,0.671,0.43,5,-11.705,1.0,0.212,0.894,0.00254,0.369,0.757,111.355,4.0,disney
Can You Feel It - New York Extended Dub,328919,0,42,Chez Damier,Can You Feel It,0.805,0.822,11,-9.168,1.0,0.0617,0.00301,0.682,0.107,0.439,123.995,4.0,chicago-house
如果沒有你,287013,0,55,Karen Mok,如果沒有你,0.507,0.281,11,-11.657,1.0,0.0307,0.758,0.0,0.211,0.264,125.893,4.0,mandopop
Nightside,237800,0,9,Witchery,Nightside,0.422,0.811,0,-6.974,1.0,0.0429,0.0102,0.0374,0.0781,0.212,135.832,4.0,black-metal
