name,duration_ms,explicit,popularity,artists,album_name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,features_duration_ms,time_signature,n_beats,n_bars,popularity_confidence,processing,genre
Can't Look Away,269800,False,23,The Wood Brothers,One Drop of Truth,0.523,0.585,5,-5.607,1.0,0.0765,0.0664,0.00127,0.117,0.385,140.88,269800,4.0,619.0,155.0,0.469,1.2793053545586106,bluegrass
Wir Ziehen Heut Abend Auf's Dach,210306,False,26,Jürgen Drews,Musik Box Teil 1,0.631,0.925,7,-5.591,0.0,0.0761,0.627,3.66e-06,0.493,0.799,124.061,210307,,426.0,107.0,0.69,4.067085953878407,happy
Long Hot Summer Days,288760,False,32,John Hartford,Mark Twang,0.591,0.177,9,-17.299,1.0,0.0811,0.926,0.00106,0.294,0.522,70.959,288760,,341.0,86.0,0.353,1.343558282208589,bluegrass
Cloudy Daze - Ham Mix,323928,False,23,Bang!,Cloudy Daze,0.593,0.588,10,-14.42,,0.043,0.00315,0.124,0.0639,0.328,169.857,323928,4.0,900.0,225.0,0.525,0.7573891625615764,happy
The Potters Hand,256093,False,43,Hillsong Worship,Ultimate Worship Vol 1,0.301,0.456,7,-6.606,1.0,0.0259,0.34,2.46e-06,0.205,0.193,74.59,256093,,311.0,76.0,0.786,4.067085953878407,iranian
Het barsten begint,82746,False,18,Germaine Franco,Encanto (Originele Nederlandstalige Soundtrack),0.198,0.483,1,-14.552,1.0,0.0506,0.831,0.927,0.0979,0.234,76.592,82747,3.0,101.0,32.0,0.889,2.36741214057508,disney
Tell Me If Yuh Like It,186666,True,22,Vybz Kartel,Tell Me If Yuh Like It,0.65,0.739,4,-4.554,0.0,0.338,0.0423,0.0,0.075,0.331,114.966,186667,5.0,354.0,87.0,0.972,0.916010498687664,j-dance
Dooms Day,227056,False,8,Arsames,Immortal Identity,0.456,0.992,7,-3.817,0.0,0.139,7.98e-06,0.695,0.333,0.416,165.012,227056,4.0,611.0,153.0,0.106,4.067085953878407,iranian
"Zicke Zacke, Prost ihr Säcke",170042,False,22,Jack Gelee,"Zicke Zacke, Prost ihr Säcke",0.71,0.998,8,-1.898,1.0,0.304,0.0221,0.0,0.529,0.712,140.089,170043,4.0,391.0,97.0,0.415,2.7259036144578315,happy
Daar zijn we weer!,238228,True,17,Nosferatu;Neophyte,Harmony Of Hardcore 2016,0.599,0.976,4,-4.478,0.0,0.144,0.181,0.00197,0.303,0.259,100.023,238229,4.0,395.0,98.0,0.869,0.916010498687664,happy
Amores de barra,194666,False,29,Ella Baila Sola,Grandes Éxitos: Ella Baila Sola,0.604,0.827,7,-6.99,1.0,0.155,0.443,2.46e-06,0.201,0.315,172.065,194667,4.0,543.0,135.0,0.738,4.067085953878407,spanish
Ova Dweet (Mixed),151500,False,4,Popcaan,CruiseControl: How I Met The Biggest Bird (DJ Mix),0.503,0.673,1,-7.685,1.0,0.395,0.126,0.0,0.607,0.539,128.454,151500,5.0,290.0,74.0,0.026,2.36741214057508,j-dance
Baadaabaad,290000,False,0,Rojin Sharafi,Zangaar,0.4,0.415,7,-13.288,0.0,0.16,0.839,0.362,0.111,0.0383,88.553,290000,1.0,423.0,107.0,0.146,4.067085953878407,iranian
Ginger Root,140750,False,4,"Sarah, the Illstrumentalist",FLOWERS,0.396,0.217,9,-12.465,0.0,0.0415,0.677,0.794,0.176,0.107,84.658,140750,4.0,190.0,47.0,0.507,1.343558282208589,study
Take U Back - Mad Dog Remix,305625,False,24,Angerfist;Mad Dog,The Deadfaced Dimension,0.433,0.99,11,-3.224,1.0,0.326,0.000207,0.831,0.123,0.123,173.0,305625,4.0,860.0,214.0,0.851,0.7481162540365985,techno
